Neuquen;2020;1200;1220;1240;1300;1350;1400;1450;1500;1550;1600;1620;1650
Neuquen;2021;1250;1280;1300;1340;1380;1420;1460;1500;1540;1580;1600;1640
Buenos Aires;2020;2200;2250;2300;2350;2400;2450;2500;2550;2600;2650;2700;2750
Buenos Aires;2021;2250;2300;2350;2400;2450;2500;2550;2600;2650;2700;2750;2800
Cordoba;2019;1000;1020;1040;1060;1080;1100;1120;1140;1160;1180;1200;1220
Cordoba;2020;1050;1070;1090;1110;1130;1150;1170;1190;1210;1230;1250;1270
Mendoza;2021;800;820;840;860;880;900;920;940;960;980;1000;1020
Mendoza;2022;850;870;890;910;930;950;970;990;1010;1030;1050;1070
Tucuman;2020;1200;1220;1240;1300;1350;1400;1450;1500;1550;1600;1620;1650
Tucuman;2021;1250;1280;1300;1340;1380;1420;1460;1500;1540;1580;1600;1640
Salta;2020;1200;1220;1240;1300;1350;1400;1450;1500;1550;1600;1620;1650
Salta;2021;1250;1280;1300;1340;1380;1420;1460;1500;1540;1580;1600;1640
Mar del Plata;2020;1200;1220;1240;1300;1350;1400;1450;1500;1550;1600;1620;1650
Mar del Plata;2021;1250;1280;1300;1340;1380;1420;1460;1500;1540;1580;1600;1640
San Miguel;2020;1200;1220;1240;1300;1350;1400;1450;1500;1550;1600;1620;1650
San Miguel;2021;1250;1280;1300;1340;1380;1420;1460;1500;1540;1580;1600;1640
La Plata;2020;1200;1220;1240;1300;1350;1400;1450;1500;1550;1600;1620;1650
La Plata;2021;1250;1280;1300;1340;1380;1420;1460;1500;1540;1580;1600;1640
Rosario;2020;1200;1220;1240;1300;1350;1400;1450;1500;1550;1600;1620;1650
Rosario;2021;1250;1280;1300;1340;1380;1420;1460;1500;1540;1580;1600;1640
